=== LSP Grids ===
Grid,Lookahead,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
8x9,1,A*,,,,,,,,,,
8x9,1,XMM,,,,,,,,,,
8x9,1,XDFBnB,,,,,,,,,,
8x9,1,BiXDFBnB,,,,,,,,,,
8x9,1,XIDA,1635,7137,4879,22349,14922,66029,35116,171958,,
8x9,1,BiXIDA,7529,49021,16515,131634,41272,316406,71312,696238,,
8x9,2,A*,,,,,,,,,,
8x9,2,XMM,,,,,,,,,,
8x9,2,XDFBnB,,,,,,,,,,
8x9,2,BiXDFBnB,,,,,,,,,,
8x9,2,XIDA,806,6563,2525,19869,7251,59221,17370,138620,,
8x9,2,BiXIDA,1289,8473,3112,24555,6028,42210,16963,133171,,
8x9,3,A*,,,,,,,,,,
8x9,3,XMM,,,,,,,,,,
8x9,3,XDFBnB,,,,,,,,,,
8x9,3,BiXDFBnB,,,,,,,,,,
8x9,3,XIDA,558,6222,1717,22339,4862,67528,11654,175627,,
8x9,3,BiXIDA,1166,24120,2826,74549,5607,139355,14309,430991,,
8x9,4,A*,,,,,,,,,,
8x9,4,XMM,,,,,,,,,,
8x9,4,XDFBnB,,,,,,,,,,
8x9,4,BiXDFBnB,,,,,,,,,,
8x9,4,XIDA,392,8960,1336,26740,3371,81629,8558,204205,,
8x9,4,BiXIDA,684,10626,1726,36874,3009,58597,8841,204346,,
9x9,1,A*,,,,,,,,,,
9x9,1,XMM,,,,,,,,,,
9x9,1,XDFBnB,,,,,,,,,,
9x9,1,BiXDFBnB,,,,,,,,,,
9x9,1,XIDA,4902,24378,12902,61234,16436,87733,,,,
9x9,1,BiXIDA,14693,130394,30818,286401,38341,402566,,,,
9x9,2,A*,,,,,,,,,,
9x9,2,XMM,,,,,,,,,,
9x9,2,XDFBnB,,,,,,,,,,
9x9,2,BiXDFBnB,,,,,,,,,,
9x9,2,XIDA,2537,20923,6640,51903,8259,77013,26532,269251,,
9x9,2,BiXIDA,2378,18825,5637,42161,9094,70787,28876,250549,,
9x9,3,A*,,,,,,,,,,
9x9,3,XMM,,,,,,,,,,
9x9,3,XDFBnB,,,,,,,,,,
9x9,3,BiXDFBnB,,,,,,,,,,
9x9,3,XIDA,1752,21694,4459,57004,5688,94973,17656,303992,,
9x9,3,BiXIDA,2067,56689,5010,134006,8085,229131,24753,753903,,
9x9,4,A*,,,,,,,,,,
9x9,4,XMM,,,,,,,,,,
9x9,4,XDFBnB,,,,,,,,,,
9x9,4,BiXDFBnB,,,,,,,,,,
9x9,4,XIDA,1366,25634,3272,79207,4221,118078,13239,395512,,
9x9,4,BiXIDA,2165,26723,2984,68882,4483,99732,15517,361099,,

=== LSP Mazes ===
Grid,Lookahead,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,1,A*,,,,,,
13x13,1,XMM,,,,,,
13x13,1,XDFBnB,,,,,,
13x13,1,BiXDFBnB,,,,,,
13x13,1,XIDA,3693,7477,,,,
13x13,1,BiXIDA,11219,54074,,,,
13x13,2,A*,,,,,,
13x13,2,XMM,,,,,,
13x13,2,XDFBnB,,,,,,
13x13,2,BiXDFBnB,,,,,,
